,course_title,course_organization,course_rating,course_difficulty,course_students_enrolled
253,Google UX Design,Google,4.8,Beginner,220K
254,Google IT Support,Google,4.8,Beginner,1M
255,IBM Data Analyst,IBM,4.6,Beginner,580K
256,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
257,Introduction to Data Science,IBM,4.6,Beginner,590K
258,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
259,Machine Learning,Stanford University,4.9,Mixed,4.4M
260,Google Data Analytics,Google,4.8,Beginner,380K
261,Google Project Management:,Google,4.8,Beginner,260K
262,IBM Data Science,IBM,4.6,Beginner,900K
263,Google UX Design,Google,4.8,Beginner,220K
264,Google IT Support,Google,4.8,Beginner,1M
265,IBM Data Analyst,IBM,4.6,Beginner,580K
266,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
267,Introduction to Data Science,IBM,4.6,Beginner,590K
268,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
269,Machine Learning,Stanford University,4.9,Mixed,4.4M
270,Google Data Analytics,Google,4.8,Beginner,380K
271,Google Project Management:,Google,4.8,Beginner,260K
272,IBM Data Science,IBM,4.6,Beginner,900K
273,Google UX Design,Google,4.8,Beginner,220K
274,Google IT Support,Google,4.8,Beginner,1M
275,IBM Data Analyst,IBM,4.6,Beginner,580K
276,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
277,Introduction to Data Science,IBM,4.6,Beginner,590K
278,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
279,Machine Learning,Stanford University,4.9,Mixed,4.4M
280,Google Data Analytics,Google,4.8,Beginner,380K
281,Google Project Management:,Google,4.8,Beginner,260K
282,IBM Data Science,IBM,4.6,Beginner,900K
283,Google UX Design,Google,4.8,Beginner,220K
284,Google IT Support,Google,4.8,Beginner,1M
285,IBM Data Analyst,IBM,4.6,Beginner,580K
286,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
287,Introduction to Data Science,IBM,4.6,Beginner,590K
288,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
289,Machine Learning,Stanford University,4.9,Mixed,4.4M
290,Google Data Analytics,Google,4.8,Beginner,380K
291,Google Project Management:,Google,4.8,Beginner,260K
292,IBM Data Science,IBM,4.6,Beginner,900K
293,Google UX Design,Google,4.8,Beginner,220K
294,Google IT Support,Google,4.8,Beginner,1M
295,IBM Data Analyst,IBM,4.6,Beginner,580K
296,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
297,Introduction to Data Science,IBM,4.6,Beginner,590K
298,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
299,Machine Learning,Stanford University,4.9,Mixed,4.4M
300,Google Data Analytics,Google,4.8,Beginner,380K
301,Google Project Management:,Google,4.8,Beginner,260K
302,IBM Data Science,IBM,4.6,Beginner,900K
303,Google UX Design,Google,4.8,Beginner,220K
304,Google IT Support,Google,4.8,Beginner,1M
305,IBM Data Analyst,IBM,4.6,Beginner,580K
306,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
307,Introduction to Data Science,IBM,4.6,Beginner,590K
308,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
309,Machine Learning,Stanford University,4.9,Mixed,4.4M
